servicename,bom_prod_fkp,bom_prod_total,bom_prod_adoption_percent,bom_nonprod_fkp,bom_nonprod_total,bom_nonprod_adoption_percent,bom_prod_adoption,bom_nonprod_adoption
api-functional-monitoring-bat-cli-xapi-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-activities-stream-processor-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
cfm-configuration-manager-db-migrations,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-designer-dc-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-op-druid-events-zk,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
b2b-solution-partners-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-traces-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
visualizer-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-am-experience-protomaps,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amc-agent-reg-facade,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-application-manager-db-mgr,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-metrics-stream-processor-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-standalone-manager-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ang-catalog-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-navbar,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
platform-services-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-ms-mcm-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-designer-dc-xapi-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-manager-infra,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
b2b-solution-orchestration-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
acm-acm-api-experience-hub-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
anypoint-platform-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-traces-api,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-functional-monitoring-bat-xapi-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
mars,0,4,0.0,0,2,0.0,0/4 (0.0%),0/2 (0.0%)
arm-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-exchange-tooling-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
api-designer-dc-projects-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amc-quotas,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
rtf-cloud-infra-management,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-metrics-kafka-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
tf-ang-governance-sg,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
design-center-projects-db-migrations,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
mule-dx-xapi-ai-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-op-druid-operator,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-ms-atlas-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
arm-application-mgr-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-log-aggregator-processor,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
lume-design-system,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ump-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
mule-dx-ms-integration-ai-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-metrics-api,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amc-deployer,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
rtf-management-api-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
amc-test-helper,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
security-fabric-edge-tf-edge-security-manager-db-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
rtf-cloud-dns-service,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
rtf-cloud-infra-provisioner,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
b2b-solution-xapi,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-ingestion-logs-stream-processor-infra,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ms-am-experience-ui,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
