servicename,bom_prod_fkp,bom_prod_total,bom_prod_adoption_percent,bom_nonprod_fkp,bom_nonprod_total,bom_nonprod_adoption_percent,bom_prod_adoption,bom_nonprod_adoption
e360-queue-manager-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
ums-mail-archiver,0,0,0,0,4,0.0,N/A,0/4 (0.0%)
e360-whatsapp-receiver,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
copilot-p13n,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
tua-timeseries-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
ums-event-service,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
e360-whatsapp,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
sfdw-playground,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
tua-insights-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
ums-tenant-api,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
ums-mta-inbound,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
ums-mta-outbound,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
semantic-query-preparer,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
e360-sms-send-service,0,0,0,0,3,0.0,N/A,0/3 (0.0%)
ums-deliverability-service,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
e360-tracking-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
mce-metrics-guard,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
segint-sigma-control-pod,0,0,0,0,3,0.0,N/A,0/3 (0.0%)
ums-mail-processor,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
high-scale-flow,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
semantic-engine-gateway,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
ums-smtp-blackhole,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
e360-metadata-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
ums-grpc-api,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
data-prism,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
pingmesh-agent,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
fit-results-publisher,0,7,0.0,0,15,0.0,0/7 (0.0%),0/15 (0.0%)
stele,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
gov-capacity-manager,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
scalecenter,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
eaas-grpc-client,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
restoreapp,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
fwe-push,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
pkicontroller,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
minos,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
policy-distribution,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
workload-identity,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
vault-accelerator,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
flowsnake-sparkui-proxy,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
fees,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
jit,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
tentacle,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
sai-gateway,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
scrt2-transcripts,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
scrt2-stream-processor,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
apik-fedx,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
r53proxy,0,27,0.0,0,53,0.0,0/27 (0.0%),0/53 (0.0%)
ajna-self-service,0,10,0.0,0,18,0.0,0/10 (0.0%),0/18 (0.0%)
ajnakafka,0,12,0.0,0,21,0.0,0/12 (0.0%),0/21 (0.0%)
ajnatopicdeployer,0,12,0.0,0,21,0.0,0/12 (0.0%),0/21 (0.0%)
ajnawrangler,0,12,0.0,0,21,0.0,0/12 (0.0%),0/21 (0.0%)
ajnaloadmgr,0,12,0.0,0,21,0.0,0/12 (0.0%),0/21 (0.0%)
ajnakmf,0,12,0.0,0,21,0.0,0/12 (0.0%),0/21 (0.0%)
ajnalionsgate,0,3,0.0,0,6,0.0,0/3 (0.0%),0/6 (0.0%)
splunkmadeira,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
