Org Leader,Parent Cloud,Cloud,Team Name,Service Name,"non-FKP Instance Count 
 Commercial",Commercial ETA,non-FKP Instance Count Gia2h,Gia2h ETA,non-FKP Instance Count Blackjack,BlackJack ETA,Decommission ETA,Feature Dependencies,Comments
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP CRM 2,cdp-data-extractor-dispatcher,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),Fredericton Express,cdp-data-extractor-events,127,FY27Q2,5,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),Fredericton Express,cdp-data-ingestion-service,78,FY27Q2,8,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),Fredericton Express,cdp-data-ingestion-service-cdp-cluster,2,FY27Q2,0,N/A,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_DataPrep,cdp-data-prep,137,Not Started,8,Not Started,0,N/A,N/A,"Platform on Platform for Workloads
  Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account",
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Fabric,cdp-data-processing-controller,238,Not Started,12,Not Started,0,N/A,N/A,"Platform on Platform for Workloads
  Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account",
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Data_Services,cdp-data-service,132,FY27Q2,8,Need More Info,0,N/A,N/A,"Platform on Platform for Workloads
  Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account",
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Lakehouse,cdp-data-sync-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_MC_Streaming,cdp-data-transformation-service,113,FY27Q2,6,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Fabric,cdp-dpc-eks,30,Not Started,4,Not Started,0,N/A,N/A,"Platform on Platform for Workloads
  Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account",
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Platform Engineering,cdp-eks,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Istio,cdp-envoy-metrics-scraper,120,To Be Decommissioned,6,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Admin_Services,cdp-gdpr-service,74,FY27Q2,4,Need More Info,0,N/A,N/A,"Platform on Platform for Workloads
  Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account",
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Admin_Services,cdp-geo-provisioning-service,23,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Query,Hyper Database - Engine,cdp-hyperdb,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Lakehouse,cdp-iceberg-explorer,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Inference Engine,cdp-inference-engine,162,FY27Q2,11,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Platform Engineering,cdp-infra,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_InsightsEngine,cdp-insights-engine,126,FY27Q2,8,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Istio,cdp-internal-ingress-gateway,119,To Be Decommissioned,8,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Istio,cdp-istio,119,To Be Decommissioned,8,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Istio,cdp-istio-ingress-gateway,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Platform Engineering,cdp-job-uploader,8,FY27Q2,1,N/A,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Platform Engineering,cdp-keda,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Platform Engineering,cdp-math,1,FY27Q2,0,N/A,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Platform Engineering,cdp-math-api,1,FY27Q2,0,N/A,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP_Metadata_Service,cdp-metadata-service,134,FY27Q2,7,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,Data Cloud Platform Engineering,cdp-mgmt-jit-ui,31,To Be Decommissioned,3,To Be Decommissioned,0,N/A,FY27Q4,,
