Service Name,Non-FKP Instance Count,Commercial ETA,GIA ETA,BlackJack ETA,Requirements
mce-eef2-ui,4 | |,To Be Decomissioned,N/A,N/A,None
mce-eef2-worker,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ees-jb-ui,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ees-service,5 | |,To Be Decomissioned,N/A,N/A,None
mce-ees-ui,4 | |,To Be Decomissioned,N/A,N/A,None
mce-eks,31 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-emi-service,4 | |,To Be Decomissioned,N/A,N/A,None
mce-emi-ui,4 | |,To Be Decomissioned,N/A,N/A,None
mce-envoy-metrics-scraper,31 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-goodbye,28 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-hermes-service,31 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-internal-ingress-gateway,31 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-istio,31 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-istio-ingress-gateway,31 | |,To Be Decomissioned,N/A,N/A,None
mce-lalaland,14 | |,To Be Decomissioned,N/A,N/A,None
mce-nimbus,1 | |,To Be Decomissioned,N/A,N/A,None
mce-orchard,21 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-overview,5 | |,To Be Decomissioned,N/A,N/A,None
mce-preview-service,5 | |,To Be Decomissioned,N/A,N/A,None
mce-provisioner,28 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-reporting-service,4 | |,To Be Decomissioned,N/A,N/A,None
mce-slt-service,6 | |,To Be Decomissioned,N/A,N/A,None
mce-sprinkler,21 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-sto-activity,4 | |,To Be Decomissioned,N/A,N/A,None
mce-sto-config,4 | |,To Be Decomissioned,N/A,N/A,None
mce-sto-mobile,12 | |,To Be Decomissioned,N/A,N/A,None
mce-sto-service,30 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-sto-setup,4 | |,To Be Decomissioned,N/A,N/A,None
mce-sto-worker,30 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
adstudio-ad-audiences-fe,2 | |,FY26Q3,N/A,N/A,None
adstudio-campaign-service,2 | |,FY26Q3,N/A,N/A,None
adstudio-control-box,2 | |,FY26Q3,N/A,N/A,None
adstudio-eks,2 | |,FY26Q3,N/A,N/A,None
adstudio-goodbye-service,2 | |,FY26Q3,N/A,N/A,None
adstudio-istio,2 | |,FY26Q3,N/A,N/A,None
adstudio-istio-ingress-gateway,2 | |,FY26Q3,N/A,N/A,None
adstudio-journey-builder-ads,2 | |,FY26Q3,N/A,N/A,None
adstudio-lead-ingestion,2 | |,FY26Q3,N/A,N/A,None
adstudio-settingspath-injector,2 | |,FY26Q3,N/A,N/A,None
ai-metadata-service,39 | 3 |,FY27Q2,Need More Info,N/A,Dependency on CDP
beacons-control-box,39 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-actions-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-activation-service,140 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-admin-service,40 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-airflow-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-authentication-service,40 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-beacon-ingress-gateway,39 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-beacon-istio,39 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-beacon-metrics-scraper,39 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-billing-service,53 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-byoc-krc,7 | |,Not Started,N/A,N/A,"Platform on Platform for Workloads
Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account "
cdp-catalog,26 | |,Need More Info,N/A,N/A,None
cdp-control-box,40 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-cors-service,1 | |,FY27Q2,N/A,N/A,None
cdp-data-capture-eks,39 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-data-collaboration,32 | |,Need More Info,N/A,N/A,None
cdp-data-connectors,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-data-connectors-jobs,100 | 2 |,FY27Q2,Need More Info,N/A,None
cdp-data-extractor-crm-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-data-extractor-dispatcher,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-data-extractor-events,131 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-data-ingestion-service,77 | 6 |,FY27Q2,Need More Info,N/A,None
cdp-data-prep,146 | 6 |,Not Started,Not Started,N/A,None
cdp-data-processing-controller,190 | 8 |,Not Started,Not Started,N/A,"Platform on Platform for Workloads
Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account "
cdp-data-service,142 | 5 |,FY27Q2,Need More Info,N/A,"Platform on Platform for Workloads
Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account "
cdp-data-sync-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-data-transformation-service,127 | 6 |,FY27Q2,Need More Info,N/A,None
cdp-dpc-eks,30 | 3 |,Not Started,Not Started,N/A,"Platform on Platform for Workloads
Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account "
cdp-eks,40 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-envoy-metrics-scraper,78 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-gdpr-service,136 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-geo-provisioning-service,22 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-hyperdb,39 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-iceberg-explorer,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-inference-engine,176 | 9 |,FY27Q2,Need More Info,N/A,None
cdp-infra,40 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-insights-engine,135 | 5 |,FY27Q2,Need More Info,N/A,None
cdp-istio,80 | 6 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-istio-ingress-gateway,40 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-job-uploader,37 | 2 |,FY27Q2,Need More Info,N/A,None
cdp-keda,40 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-math,1 | |,FY27Q2,N/A,N/A,None
cdp-math-api,1 | |,FY27Q2,N/A,N/A,None
cdp-metadata-service,142 | 6 |,FY27Q2,Need More Info,N/A,None
cdp-mgmt-jit-ui,39 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-multiorg-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-partner-activation-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-pra-istio-ingress-gateway,40 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
cdp-profile-engine,140 | 5 |,FY27Q2,Need More Info,N/A,None
cdp-query-federator,38 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-query-service,78 | 6 |,FY27Q2,Need More Info,N/A,None
cdp-realtime-mgmt-service,130 | 7 |,FY27Q2,Need More Info,N/A,None
cdp-realtime-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-scheduler-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
cdp-segmentation-service,117 | 5 |,FY27Q2,Need More Info,N/A,None
cdp-settingspath-injector,40 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
credential-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
data-cloud-cdp-fabric-access,39 | 3 |,FY27Q2,Need More Info,N/A,None
eanalytics,25 | |,FY26Q4,N/A,N/A,Multi-Account
eanalytics-buzzard,25 | |,FY26Q4,N/A,N/A,Multi-Account
edc-director,38 | 3 |,FY27Q2,Need More Info,N/A,Dependency on CDP
edc-inference,38 | 3 |,FY27Q2,Need More Info,N/A,Dependency on CDP
edc-model-builder,65 | 3 |,FY27Q2,Need More Info,N/A,Dependency on CDP
ek-harmonization-service,41 | |,FY27Q2,N/A,N/A,None
hawking-compute-eks,28 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
hawking-compute-proxy,27 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
hawking-istio-igw,25 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
hawking-istio-operator,25 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
hawking-istiod,25 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
hawking-oauth2,25 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-citadel,3 | |,To Be Decomissioned,N/A,N/A,None
notebook,22 | 3 |,FY26Q4,FY26Q4,N/A,"Dynamic Namespaces, Dynamic Routing and AuthN/Z"
p13n-attribution-engine,139 | 5 |,FY27Q2,Need More Info,N/A,None
p13n-decisioning-pipeline,39 | 3 |,FY27Q2,Need More Info,N/A,None
p13n-process-object-service,39 | 3 |,FY27Q2,Need More Info,N/A,None
p13n-recommendation-engine,39 | 3 |,FY27Q2,Need More Info,N/A,None
psp-index-manager,140 | 3 |,FY27Q2,Need More Info,N/A,None
sfdw-entitlement-usage-service,132 | 6 |,FY27Q2,Need More Info,N/A,None
unstructured-realtime,38 | |,FY27Q2,N/A,N/A,None
c4ssh,34 | | 1,FY26Q3,N/A,Need More Info,None
cag-firefly-intake,1 | |,To Be Decomissioned,N/A,N/A,None
cag-firefly-package,1 | |,To Be Decomissioned,N/A,N/A,None
cag-firefly-pullrequest,1 | |,To Be Decomissioned,N/A,N/A,None
certificateservices,25 | 2 | 1,Need More Info,Need More Info,Need More Info,None
edge,31 | |,FY27Q1,N/A,N/A,None
jit,0 | 2 | 1,N/A,FY26Q3,Need More Info,None
kaaskeymaker,26 | |,FY26Q4,N/A,N/A,None
kaaskeywatcher,174 | |,FY26Q4,N/A,N/A,None
kaasmasterkdc,26 | |,FY26Q4,N/A,N/A,None
kaasslavekdc,54 | |,FY26Q4,N/A,N/A,None
kaaswebhook,116 | |,FY26Q4,N/A,N/A,None
kmsinfra,| | 1,N/A,N/A,Need More Info,None
magister,| | 2,N/A,N/A,Need More Info,None
network-access-controller,31 | |,Need More Info,N/A,N/A,None
patching-bootloader-presigner,1 | 0 |,Need More Info,N/A,N/A,None
pkiinfra,46 | 2 | 1,FY26Q3,FY26Q3,Need More Info,None
praui,8 | |,Need More Info,N/A,N/A,None
privateconnect-outbound-dp,23 | 2 |,Not Started,FY26Q3,N/A,None
quantumk,0 | 4 | 2,N/A,FY26Q3,Need More Info,None
quantumkgia2h,2 | |,FY26Q3,N/A,N/A,None
raphty,0 | 2 | 1,N/A,Need More Info,Need More Info,None
safe-monitor,136 | 144 |,Need More Info,Need More Info,N/A,None
sdb,0 | 0 | 1,N/A,N/A,FY26Q4,None
sdbarchivalworker,0 | 0 | 2,N/A,N/A,FY26Q4,None
sdbstore,0 | 0 | 2,N/A,N/A,FY26Q4,None
sdbzk,0 | 0 | 2,N/A,N/A,FY26Q4,None
smsapi,0 | 0 | 1,N/A,N/A,Need More Info,None
smscanary,0 | 0 | 1,N/A,N/A,Need More Info,None
smszk,0 | 0 | 1,N/A,N/A,Need More Info,None
soterfalcon,1 | | 1,Need More Info,N/A,Need More Info,None
strauz,0 | | 1,N/A,N/A,Need More Info,None
ura,24 | |,Need More Info,N/A,N/A,None
vault-accelerator,25 | 0 |,Need More Info,N/A,N/A,None
vault-canary,33 | 1 |,Need More Info,Need More Info,N/A,None
vault-path-manager,28 | 1 |,Need More Info,N/A,N/A,None
vault-policy-manager,33 | |,Need More Info,N/A,N/A,None
waas-rate-limiter,29 | |,Need More Info,N/A,N/A,None
waas-redis,29 | |,Need More Info,N/A,N/A,None
