servicename,total_count,on_fkp,percent_on_fkp
mc-ladigaga,6,6,100.0
fwe-o2-engine,6,6,100.0
mj-jsgw-resttse,6,6,100.0
mj-appframework-packages,6,6,100.0
ois,6,6,100.0
mj-cms-scpweb,5,5,100.0
fwe-o2-osrm-middleeast-africa,5,5,100.0
mj-sms-mcfuel,5,5,100.0
bundler-avp-engine-fedx,5,5,100.0
sqlconcurrencythrottler,5,5,100.0
cafe,5,5,100.0
mj-setup-brand-tag-worker,5,5,100.0
fwe-o2-osrm-south-america,5,5,100.0
mj-campaigns,5,5,100.0
mj-user-content,5,5,100.0
mj-utdp-scheduler,5,5,100.0
mj-msginbound-ens-webhooks-ui,5,5,100.0
mj-email-app,5,5,100.0
mj-tags,5,5,100.0
mj-email-admin,5,5,100.0
mj-automation-studio-ui,5,5,100.0
mj-sf-app-ext-ui,5,5,100.0
mj-mobilepushui,5,5,100.0
mj-jb-ext-audience-selector,5,5,100.0
bundler-adapter-fedx,5,5,100.0
mj-taasresponder,5,5,100.0
mj-jb-analytics-ui,5,5,100.0
mj-jb-chat-messaging,5,5,100.0
mj-sms-mc,5,5,100.0
fwe-o2-osrm-europe,5,5,100.0
mce-overview,5,0,0.0
mj-srms-ui,5,5,100.0
mj-mercury-consumer,5,5,100.0
mj-cloudpages,5,5,100.0
mj-byok-restore-ui,5,5,100.0
mj-approvals,5,5,100.0
mj-ciam-uilogin,5,5,100.0
mj-hydration-offload-worker,5,5,100.0
mj-jb-group-connect,5,5,100.0
gid-service-hf,5,5,100.0
mj-spf,5,5,100.0
fwe-o2-osrm-india,5,5,100.0
mj-setup-status-worker,5,5,100.0
mj-analytics-provisioning-api,5,5,100.0
mj-hydration-worker,5,5,100.0
mj-whatsapp,5,5,100.0
sfs-o2-decomposer,5,5,100.0
legacy-trust-site-ui,5,5,100.0
mj-config-service,5,5,100.0
mj-utdp-ui,5,5,100.0
mj-hydration-s3-exporter,5,5,100.0
sfs-mobile-provisioning,5,5,100.0
mce-ees-service,5,0,0.0
mj-mercury-ui,5,5,100.0
fwe-push,5,5,100.0
mj-jb-inapp-activity,5,5,100.0
sfs-eso-orchestrator,5,5,100.0
mj-datatier-client,5,5,100.0
mj-byok-ui,5,5,100.0
mj-data-ui,5,5,100.0
mj-contacts-bumapping,5,5,100.0
sfs-eso-data-fetch,5,5,100.0
mj-gdou-sync,5,5,100.0
mj-interactive-content,5,5,100.0
mce-preview-service,5,0,0.0
mj-mcr-provisioning,5,5,100.0
mj-setup-worker-watchdogs,5,5,100.0
mj-setup-img-domain-worker,5,5,100.0
fwe-o2-matrix,5,5,100.0
mj-group-connect-admin,5,5,100.0
exchange-api-metadata-service,5,5,100.0
mj-googleconnect,5,5,100.0
mj-cloudpages-jbevent,5,5,100.0
mj-datacollect,5,5,100.0
mj-parameter-manager,5,5,100.0
mj-analytics-db-service,5,5,100.0
mj-homepage-ui,5,5,100.0
mj-ciam-c2c,5,5,100.0
mj-byok-dataencryptionservice,5,5,100.0
bundler-clustering-fedx,5,5,100.0
mj-drham-movement,5,5,100.0
mj-content-builder,5,5,100.0
mj-setup-cert-mgmt-worker,5,5,100.0
mj-jsonmessageblock,5,5,100.0
mj-gus-service,5,5,100.0
vaas-verificationengine,5,5,100.0
mj-contacts-builder,5,5,100.0
mj-setup-gus-worker,5,5,100.0
erb-predictor,5,5,100.0
fwe-o2-osrm-asia-pacific,5,5,100.0
sfs-mobile-priming,5,5,100.0
mj-msginbound-webhooks,5,5,100.0
mj-group-connect,5,5,100.0
mj-as-group-connect,5,5,100.0
mj-setup-setup,5,5,100.0
exchange-asset-reviews-service,5,5,100.0
mj-ab-testing,5,5,100.0
mj-setup-customdomains,5,5,100.0
taasresponder,5,5,100.0
mj-setup-brandbuilder,5,5,100.0
mj-utf,5,5,100.0
pcs,5,0,0.0
sfs-eso-data-update,5,5,100.0
mj-utdp-execution-engine,5,5,100.0
c2c-hf,5,5,100.0
mj-mercury,5,5,100.0
mj-jb-inbox-activity,5,5,100.0
mj-qvs,5,5,100.0
legacy-trust1-status,5,5,100.0
exchange-graph-node-service,5,5,100.0
mj-sms-jbmc,5,5,100.0
sfs-mobile-cdc-eventing,5,5,100.0
mj-mc-hub-app-ui,5,5,100.0
mj-device-previewer,5,5,100.0
mj-setup-ca-domain-worker,5,5,100.0
soterfalcon,5,4,80.0
sfs-eso-data-translate,5,5,100.0
mj-jb-push-activity,5,5,100.0
mj-content-builder-admin,5,5,100.0
mj-appframework-refinery,5,5,100.0
mj-contacts-audiencesjb,5,5,100.0
sfs-mobile-authentication,5,5,100.0
mj-utdp-api,5,5,100.0
mj-mccryptoservice,5,5,100.0
fwe-o2-osrm-aus-nz,5,5,100.0
sfcdplatform,5,0,0.0
maps,5,5,100.0
bundler-manager-fedx,5,5,100.0
fwe-o2-osrm-north-america,5,5,100.0
fwe-o2-osrm-china-japan,5,5,100.0
mj-journey-builder-ui,5,5,100.0
mj-drham-managedops,5,5,100.0
industries-rcg-int,4,4,100.0
argus-es-client,4,4,100.0
mule-dx-ms-integration-ai-service,4,4,100.0
sfci-gec,4,0,0.0
industries-rcg-infra,4,4,100.0
mj-adhoc-query-service-web,4,4,100.0
mj-msginbound-einfwdr,4,4,100.0
mce-ecs-streams,4,0,0.0
ocr-predictor-helm,4,4,100.0
amg-topo-tools,4,2,50.0
rosstest,4,2,50.0
mce-eci,4,0,0.0
kraken,4,2,50.0
spiff-split-evaluator,4,4,100.0
mce-eef2-worker,4,0,0.0
pcs-misr,4,0,0.0
industries-rcg-tpm,4,4,100.0
e360-cdp-ingestion,4,4,100.0
mce-emi-ui,4,0,0.0
cloudmap-api,4,2,50.0
fwe-o2-optimization,4,4,100.0
mce-eef2-activity,4,0,0.0
ms-op-druid-events-zk,4,4,100.0
spiff-mcfeely,4,4,100.0
tabcld-pod-scaling-controller,4,4,100.0
spiff-rb,4,4,100.0
api-observability-ui,4,4,100.0
gidruntime,4,4,100.0
mce-ees-ui,4,0,0.0
argus-es-data,4,4,100.0
bdmpresto-superset,4,2,50.0
mce-ecs-pinkpuffin,4,0,0.0
mce-emi-service,4,0,0.0
pcs-majordomo,4,0,0.0
mce-avant,4,0,0.0
mce-ecs-metalmastodon,4,0,0.0
sfci-team-master,4,0,0.0
baas,4,0,0.0
dc-graph-execution-service,4,4,100.0
spiff-peg,4,4,100.0
spiff-ex,4,4,100.0
mj-adhoc-query-service-frontend,4,4,100.0
radagast,4,4,100.0
mulesoft-authentication-server,4,4,100.0
mj-jb-email-activity,4,4,100.0
spiff-react,4,4,100.0
mce-ect-vision,4,0,0.0
argus-es-master,4,4,100.0
mce-eef2-ui,4,0,0.0
argus-schema-ingestion,4,4,100.0
menshen,4,4,100.0
anypoint-cli-backend-service,4,4,100.0
cc-cds,4,4,100.0
eureka,4,2,50.0
dxgateway,4,4,100.0
ms-op-common-metadata-service,4,4,100.0
mce-eef2-service,4,0,0.0
industries-rcg-supporting,4,4,100.0
mce-sto-activity,4,0,0.0
spiff-nats,4,4,100.0
pcs-gumberoo,4,0,0.0
