,fi,fd,k8s_cluster,label_p_servicename
,aag-stage1,dnr,k8s,clustermanagement
,aag-stage1,dnr,k8s,collection
,aag-stage1,dnr,k8s,collectioninjector
,aag-stage1,dnr,k8s,madkub-injection-webhook
,aag-stage1,dnr,k8s,madkub-watchdog
,aag-stage1,dnr,k8s,metadata-concealer
,aag-stage1,dnr,k8s,stampy-webhook
,aag-stage1,dnr,molokai-k8s1,clustermanagement
,aag-stage1,dnr,molokai-k8s1,collection
,aag-stage1,dnr,molokai-k8s1,collectioninjector
,aag-stage1,dnr,molokai-k8s1,dnr-molokai
,aag-stage1,dnr,molokai-k8s1,madkub-injection-webhook
,aag-stage1,dnr,molokai-k8s1,madkub-watchdog
,aag-stage1,dnr,molokai-k8s1,metadata-concealer
,aag-stage1,dnr,molokai-k8s1,stampy-webhook
,aag-stage1,dnr,orion,clustermanagement
,aag-stage1,dnr,orion,collection
,aag-stage1,dnr,orion,collectioninjector
,aag-stage1,dnr,orion,dnr-orion
,aag-stage1,dnr,orion,madkub-injection-webhook
,aag-stage1,dnr,orion,madkub-watchdog
,aag-stage1,dnr,orion,metadata-concealer
,aag-stage1,dnr,orion,stampy-webhook
,aag-stage1,dnr,streamingsearch,clustermanagement
,aag-stage1,dnr,streamingsearch,collection
,aag-stage1,dnr,streamingsearch,collectioninjector
,aag-stage1,dnr,streamingsearch,dnr-streamingsearch
,aag-stage1,dnr,streamingsearch,madkub-injection-webhook
,aag-stage1,dnr,streamingsearch,madkub-watchdog
,aag-stage1,dnr,streamingsearch,metadata-concealer
,aag-stage1,dnr,streamingsearch,stampy-webhook
,aag-stage1,foundation,c4ssh1,c4ssh
,aag-stage1,foundation,c4ssh1,clustermanagement
,aag-stage1,foundation,c4ssh1,collection
,aag-stage1,foundation,c4ssh1,collectioninjector
,aag-stage1,foundation,c4ssh1,madkub-injection-webhook
,aag-stage1,foundation,c4ssh1,madkub-watchdog
,aag-stage1,foundation,c4ssh1,metadata-concealer
,aag-stage1,foundation,c4ssh1,stampy-webhook
,aag-stage1,foundation,certserv,certificateservices
,aag-stage1,foundation,certserv,clustermanagement
,aag-stage1,foundation,certserv,collection
,aag-stage1,foundation,certserv,collectioninjector
,aag-stage1,foundation,certserv,madkub-injection-webhook
,aag-stage1,foundation,certserv,madkub-watchdog
,aag-stage1,foundation,certserv,metadata-concealer
,aag-stage1,foundation,certserv,stampy-webhook
,aag-stage1,foundation,fit1,clustermanagement
