fi,fd,k8s_cluster,label_p_servicename,customerType,migrationStage
aag-stage1,diffeo,sam-processing1,diffeo-accounts,BlackJack,1
aag-stage1,diffeo,sam-processing1,diffeo-extraction,BlackJack,1
aag-stage1,diffeo,sam-processing1,diffeo-gateway,BlackJack,1
aag-stage1,diffeo,sam-processing1,diffeo-internal-gateway,BlackJack,1
aag-stage1,diffeo,sam-processing1,diffeo-model,BlackJack,1
aag-stage1,diffeo,sam-processing1,ingressassistant,BlackJack,1
aag-stage1,diffeo,sam-processing1,ingressgateway,BlackJack,1
aag-stage1,diffeo,sam-processing1,istio-copilot,BlackJack,1
aag-stage1,diffeo,sam-processing1,istio-metrics-service,BlackJack,1
aag-stage1,diffeo,sam-processing1,istio-operator,BlackJack,1
aag-stage1,diffeo,sam-processing1,istio-ordering,BlackJack,1
aag-stage1,diffeo,sam-processing1,istio-shipping,BlackJack,1
aag-stage1,diffeo,sam-processing1,istiod,BlackJack,1
aag-stage1,diffeo,sam-processing1,kubesyntheticscaler,BlackJack,1
aag-stage1,diffeo,sam-processing1,madkub-injection-webhook,BlackJack,1
aag-stage1,diffeo,sam-processing1,madkub-watchdog,BlackJack,1
aag-stage1,diffeo,sam-processing1,mesh-operator,BlackJack,1
aag-stage1,diffeo,sam-processing1,metadata-concealer,BlackJack,1
aag-stage1,diffeo,sam-processing1,sam,BlackJack,1
aag-stage1,diffeo,sam-processing1,spo,BlackJack,1
aag-stage1,dnr,k8s,ajnakafka,BlackJack,1
aag-stage1,dnr,k8s,ajnakmf,BlackJack,1
aag-stage1,dnr,k8s,ajnaloadmgr,BlackJack,1
aag-stage1,dnr,k8s,clustermanagement,BlackJack,1
aag-stage1,dnr,k8s,collection,BlackJack,1
aag-stage1,dnr,k8s,collectioninjector,BlackJack,1
aag-stage1,dnr,k8s,madkub-injection-webhook,BlackJack,1
aag-stage1,dnr,k8s,madkub-watchdog,BlackJack,1
aag-stage1,dnr,k8s,metadata-concealer,BlackJack,1
aag-stage1,dnr,k8s,stampy-webhook,BlackJack,1
aag-stage1,dnr,airflow,clustermanagement,BlackJack,1
aag-stage1,dnr,airflow,collection,BlackJack,1
aag-stage1,dnr,airflow,collectioninjector,BlackJack,1
aag-stage1,dnr,airflow,dnr-airflow,BlackJack,1
aag-stage1,dnr,airflow,madkub-injection-webhook,BlackJack,1
aag-stage1,dnr,airflow,madkub-watchdog,BlackJack,1
aag-stage1,dnr,airflow,metadata-concealer,BlackJack,1
aag-stage1,dnr,airflow,stampy-webhook,BlackJack,1
aag-stage1,dnr,dnr-cnt-eks1,clustermanagement,BlackJack,4
aag-stage1,dnr,dnr-cnt-eks1,collection,BlackJack,4
aag-stage1,dnr,dnr-cnt-eks1,collectioninjector,BlackJack,4
aag-stage1,dnr,dnr-cnt-eks1,dnr-connector,BlackJack,4
aag-stage1,dnr,dnr-cnt-eks1,dnr-prism,BlackJack,4
aag-stage1,dnr,dnr-cnt-eks1,madkub-injection-webhook,BlackJack,4
aag-stage1,dnr,dnr-cnt-eks1,madkub-watchdog,BlackJack,4
aag-stage1,dnr,dnr-cnt-eks1,metadata-concealer,BlackJack,4
aag-stage1,dnr,dnr-cnt-eks1,stampy-webhook,BlackJack,4
aag-stage1,dnr,dnr-k2s-k8s1,clustermanagement,BlackJack,1
aag-stage1,dnr,dnr-k2s-k8s1,collection,BlackJack,1
aag-stage1,dnr,dnr-k2s-k8s1,collectioninjector,BlackJack,1
aag-stage1,dnr,dnr-k2s-k8s1,dnr-k2s,BlackJack,1
aag-stage1,dnr,dnr-k2s-k8s1,madkub-injection-webhook,BlackJack,1
aag-stage1,dnr,dnr-k2s-k8s1,madkub-watchdog,BlackJack,1
aag-stage1,dnr,dnr-k2s-k8s1,metadata-concealer,BlackJack,1
aag-stage1,dnr,dnr-k2s-k8s1,stampy-webhook,BlackJack,1
aag-stage1,dnr,molokai-k8s1,clustermanagement,BlackJack,1
aag-stage1,dnr,molokai-k8s1,collection,BlackJack,1
aag-stage1,dnr,molokai-k8s1,collectioninjector,BlackJack,1
aag-stage1,dnr,molokai-k8s1,dnr-molokai,BlackJack,1
aag-stage1,dnr,molokai-k8s1,madkub-injection-webhook,BlackJack,1
aag-stage1,dnr,molokai-k8s1,madkub-watchdog,BlackJack,1
