fi,fd,k8s_cluster,label_p_servicename,customerType,migrationStage
aag-stage1,dnr,molokai-k8s1,metadata-concealer,BlackJack,1
aag-stage1,dnr,molokai-k8s1,stampy-webhook,BlackJack,1
aag-stage1,dnr,orion,clustermanagement,BlackJack,1
aag-stage1,dnr,orion,collection,BlackJack,1
aag-stage1,dnr,orion,collectioninjector,BlackJack,1
aag-stage1,dnr,orion,dnr-orion,BlackJack,1
aag-stage1,dnr,orion,madkub-injection-webhook,BlackJack,1
aag-stage1,dnr,orion,madkub-watchdog,BlackJack,1
aag-stage1,dnr,orion,metadata-concealer,BlackJack,1
aag-stage1,dnr,orion,stampy-webhook,BlackJack,1
aag-stage1,dnr,streamingsearch,clustermanagement,BlackJack,1
aag-stage1,dnr,streamingsearch,collection,BlackJack,1
aag-stage1,dnr,streamingsearch,collectioninjector,BlackJack,1
aag-stage1,dnr,streamingsearch,dnr-streamingsearch,BlackJack,1
aag-stage1,dnr,streamingsearch,madkub-injection-webhook,BlackJack,1
aag-stage1,dnr,streamingsearch,madkub-watchdog,BlackJack,1
aag-stage1,dnr,streamingsearch,metadata-concealer,BlackJack,1
aag-stage1,dnr,streamingsearch,stampy-webhook,BlackJack,1
aag-stage1,dnr,fit1,clustermanagement,BlackJack,1
aag-stage1,dnr,fit1,collection,BlackJack,1
aag-stage1,dnr,fit1,collectioninjector,BlackJack,1
aag-stage1,dnr,fit1,fit-controller-service,BlackJack,1
aag-stage1,dnr,fit1,fit-test-twister,BlackJack,1
aag-stage1,dnr,fit1,integration-test-service,BlackJack,1
aag-stage1,dnr,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,dnr,fit1,madkub-watchdog,BlackJack,1
aag-stage1,dnr,fit1,metadata-concealer,BlackJack,1
aag-stage1,dnr,fit1,stampy-webhook,BlackJack,1
aag-stage1,deploy,amibake1,sfcd-awsbake,BlackJack,1
aag-stage1,deploy,fit1,clustermanagement,BlackJack,1
aag-stage1,deploy,fit1,collection,BlackJack,1
aag-stage1,deploy,fit1,collectioninjector,BlackJack,1
aag-stage1,deploy,fit1,fit-controller-service,BlackJack,1
aag-stage1,deploy,fit1,fit-test-twister,BlackJack,1
aag-stage1,deploy,fit1,integration-test-service,BlackJack,1
aag-stage1,deploy,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,deploy,fit1,madkub-watchdog,BlackJack,1
aag-stage1,deploy,fit1,metadata-concealer,BlackJack,1
aag-stage1,deploy,fit1,stampy-webhook,BlackJack,1
aag-stage1,deploy,deploy-spin1,clustermanagement,BlackJack,1
aag-stage1,deploy,deploy-spin1,collection,BlackJack,1
aag-stage1,deploy,deploy-spin1,collectioninjector,BlackJack,1
aag-stage1,deploy,deploy-spin1,madkub-injection-webhook,BlackJack,1
aag-stage1,deploy,deploy-spin1,madkub-watchdog,BlackJack,1
aag-stage1,deploy,deploy-spin1,metadata-concealer,BlackJack,1
aag-stage1,deploy,deploy-spin1,sfcd-cs-funnel-metrics,BlackJack,1
aag-stage1,deploy,deploy-spin1,sfcdconfigservice,BlackJack,1
aag-stage1,deploy,deploy-spin1,spinnaker,BlackJack,1
aag-stage1,deploy,deploy-spin1,stampy-webhook,BlackJack,1
aag-stage1,deploy,sfcdplatform1,clustermanagement,BlackJack,1
aag-stage1,deploy,sfcdplatform1,collection,BlackJack,1
aag-stage1,deploy,sfcdplatform1,collectioninjector,BlackJack,1
aag-stage1,deploy,sfcdplatform1,madkub-injection-webhook,BlackJack,1
aag-stage1,deploy,sfcdplatform1,madkub-watchdog,BlackJack,1
aag-stage1,deploy,sfcdplatform1,metadata-concealer,BlackJack,1
aag-stage1,deploy,sfcdplatform1,sfcdplatform,BlackJack,1
aag-stage1,deploy,sfcdplatform1,stampy-webhook,BlackJack,1
aag-stage1,deploy,wdpaagstage1ds1,clustermanagement,BlackJack,1
aag-stage1,deploy,wdpaagstage1ds1,collection,BlackJack,1
aag-stage1,deploy,wdpaagstage1ds1,collectioninjector,BlackJack,1
aag-stage1,deploy,wdpaagstage1ds1,madkub-injection-webhook,BlackJack,1
aag-stage1,deploy,wdpaagstage1ds1,madkub-watchdog,BlackJack,1
aag-stage1,deploy,wdpaagstage1ds1,metadata-concealer,BlackJack,1
aag-stage1,deploy,wdpaagstage1ds1,sfcdekstest1,BlackJack,1
aag-stage1,deploy,wdpaagstage1ds1,stampy-webhook,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,clustermanagement,BlackJack,1
