servicename,total_count,on_fkp,percent_on_fkp
dnr-streamingsearch,2,0,0.0
skywalker,2,2,100.0
splunkmadeira,2,0,0.0
gridforce-orca,2,2,100.0
certificateservices,2,0,0.0
fmapigw,2,2,100.0
dnr-k2s,2,0,0.0
sfs-eso-orchestrator,2,2,100.0
registry,2,0,0.0
ajnamirus,2,0,0.0
keystone-async-proc,2,2,100.0
hawking-feast-serving,2,2,100.0
bdmpresto-hive-metastore,2,2,100.0
funnelevents,2,0,0.0
kraken,2,0,0.0
trino-gateway,2,2,100.0
dnrdp-orion,2,2,100.0
segint-sigma,2,2,100.0
fmapids,2,2,100.0
ump-controller,2,0,0.0
dnr-orion,2,0,0.0
tentacle,2,0,0.0
smsapi,2,2,100.0
tvm-db-automation,2,0,0.0
fmtetl,2,2,100.0
dnr-airflow,2,0,0.0
amg-topo-api,2,2,100.0
fawkes-workflowui,2,2,100.0
egpt-svc-llm-proxy,2,2,100.0
sdb-trace-analytics,2,2,100.0
segint-sigma-control-pod,2,2,100.0
fawkes-platform,2,2,100.0
amg-topo-tools,2,2,100.0
cdp-data-connectors-jobs,2,0,0.0
dnr-partitioner,2,2,100.0
cafe,2,2,100.0
smszk,2,2,100.0
private-linker-agent,2,2,100.0
fawkes-mq,2,2,100.0
onyx-agent,2,2,100.0
dnr-connector,2,0,0.0
jit,2,0,0.0
caas,2,2,100.0
fit-results-publisher,2,0,0.0
fawkes-mongo,2,2,100.0
hawking-feast-core,2,2,100.0
privateconnect-outbound-dp,2,0,0.0
sfs-eso-data-translate,2,2,100.0
mce-deviner,2,0,0.0
c2c-hf,2,2,100.0
vault-policy-manager,2,0,0.0
bdmpresto,2,2,100.0
cloudwatchexporter,2,0,0.0
dnr-prism,2,0,0.0
terraform,2,0,0.0
ajna-self-service,2,0,0.0
prom-alert-enrichment-service,2,2,100.0
semantic-analytics-agent,2,2,100.0
fawkes-api,2,2,100.0
sdb-lens,1,1,100.0
persistence-connector,1,1,100.0
batch-ingestion-service,1,1,100.0
sdb-file-notification,1,1,100.0
skywalker-reporter,1,1,100.0
bharosa,1,1,100.0
osquery-agent,1,0,0.0
ace,1,1,100.0
scalecenter,1,1,100.0
